AnimalID,Sex,Genotype,Condition
8,Female,WT,Control
10,Female,WT,Control
20,Female,WT,Control
28,Female,WT,Control
49,Female,WT,Control
51,Female,WT,Control
57,Female,WT,Control
59,Female,WT,Control
4,Female,WT,Stress
14,Female,WT,Stress
24,Female,WT,Stress
32,Female,WT,Stress
53,Female,WT,Stress
55,Female,WT,Stress
61,Female,WT,Stress
63,Female,WT,Stress
6,Female,KO,Het
16,Female,KO,Control
18,Female,KO,Control
30,Female,KO,Control
34,Female,KO,Control
36,Female,KO,Control
42,Female,KO,Control
44,Female,KO,Control
2,Female,KO,Stress
12,Female,KO,Stress
22,Female,KO,Stress
26,Female,KO,Stress
38,Female,KO,Stress
40,Female,KO,Stress
46,Female,KO,Stress
48,Female,KO,Stress
3,Male,WT,Control
21,Male,WT,Control
31,Male,WT,Control
50,Male,WT,Control
52,Male,WT,Control
58,Male,WT,Control
60,Male,WT,Control
7,Male,WT,Stress
11,Male,WT,Stress
19,Male,WT,Stress
25,Male,WT,Stress
29,Male,WT,Stress
54,Male,WT,Stress
56,Male,WT,Stress
62,Male,WT,Stress
64,Male,WT,Stress
5,Male,KO,Control
9,Male,KO,Control
13,Male,KO,Control
17,Male,KO,Control
27,Male,KO,Control
35,Male,KO,Control
41,Male,KO,Control
43,Male,KO,Control
65,Male,KO,Het
1,Male,KO,Stress
23,Male,KO,Stress
33,Male,KO,Stress
45,Male,KO,Stress
47,Male,KO,Stress
66,Male,KO,Het
67,Male,KO,Stress
