video_name,prob_stress,predicted_class
Cohort 5_12_FacialExp,0.39106977,0
Cohort1 _26_facial exp,0.5150309,1
Cohort1_19_FacialExp,0.5723552,1
Cohort1_20_FacialExp,0.66089445,1
Cohort1_3_FacialExp,0.551279,1
Cohort1_40_FacialExp,0.58223635,1
Cohort1_41_FacialExp,0.6339341,1
Cohort1_45_FacialExp.,0.5237971,1
Cohort1_5_FacialExp,0.63797605,1
Cohort1_8_FacialExp,0.55446595,1
Cohort2_10_FacialExp,0.378218,0
Cohort2_11_FacialExp.,0.34887862,0
Cohort2_14_FacialExp,0.36944896,0
Cohort2_21_FacialExp,0.34957343,0
Cohort2_23_FacialExp,0.4479155,0
Cohort2_28_FacialExp,0.37719864,0
Cohort2_2_FacialExp,0.36492783,0
Cohort2_35_FacialExp,0.34891582,0
Cohort2_43_FacialExp,0.34823957,0
Cohort2_6_FacialExp,0.34448916,0
Cohort3_30_FacialExp,0.27024597,0
Cohort3_33i_FacialExp,0.21970177,0
Cohort3_33ii_FacialExp,0.21583949,0
Cohort3_38_FacialExp,0.27751306,0
Cohort3_47_FacialExp,0.261664,0
Cohort3_4_FacialExp,0.20003599,0
Cohort4_18_FacialExp,0.2738721,0
Cohort4_24_FacialExp,0.29546705,0
Cohort4_34_FacialExp,0.28616154,0
Cohort4_3_FacialExp,0.29163513,0
Cohort4_42_FacialExp,0.2590006,0
Cohort4_46_FacialExp,0.2973355,0
Cohort4_7_FacialExp,0.2685614,0
Cohort4_9_FacialExp,0.279788,0
Cohort5_13_FacialExp,0.3378393,0
Cohort5_16_FacialExp,0.32621235,0
Cohort5_1_FacialExp,0.3662387,0
Cohort5_22_FacialExp,0.32533976,0
Cohort5_29_FacialExp,0.31924495,0
Cohort5_44_FacialExp,0.3192512,0
Cohort5_7_FacialExp,0.31664652,0
