video_name,prob_stress,predicted_class
Cohort 5_12_FacialExp,0.59331703,1
Cohort1 _26_facial exp,0.48021066,0
Cohort1_19_FacialExp,0.5715187,1
Cohort1_20_FacialExp,0.8779394,1
Cohort1_3_FacialExp,0.4534064,0
Cohort1_40_FacialExp,0.47558564,0
Cohort1_41_FacialExp,0.8852552,1
Cohort1_45_FacialExp.,0.42618182,0
Cohort1_5_FacialExp,0.49247152,0
Cohort1_8_FacialExp,0.45322496,0
Cohort2_10_FacialExp,0.45522517,0
Cohort2_11_FacialExp.,0.4367624,0
Cohort2_14_FacialExp,0.46825805,0
Cohort2_21_FacialExp,0.41704577,0
Cohort2_23_FacialExp,0.73235565,1
Cohort2_28_FacialExp,0.4505862,0
Cohort2_2_FacialExp,0.5038308,1
Cohort2_35_FacialExp,0.4552301,0
Cohort2_43_FacialExp,0.4100323,0
Cohort2_6_FacialExp,0.43650252,0
Cohort3_30_FacialExp,0.4039349,0
Cohort3_33i_FacialExp,0.16253236,0
Cohort3_33ii_FacialExp,0.14881514,0
Cohort3_38_FacialExp,0.44382602,0
Cohort3_47_FacialExp,0.39087805,0
Cohort3_4_FacialExp,0.11932267,0
Cohort4_18_FacialExp,0.42745203,0
Cohort4_24_FacialExp,0.44325757,0
Cohort4_34_FacialExp,0.42502162,0
Cohort4_3_FacialExp,0.3694819,0
Cohort4_42_FacialExp,0.37239358,0
Cohort4_46_FacialExp,0.43625453,0
Cohort4_7_FacialExp,0.37839815,0
Cohort4_9_FacialExp,0.43060628,0
Cohort5_13_FacialExp,0.4320585,0
Cohort5_16_FacialExp,0.44413373,0
Cohort5_1_FacialExp,0.43726203,0
Cohort5_22_FacialExp,0.41386196,0
Cohort5_29_FacialExp,0.36156678,0
Cohort5_44_FacialExp,0.41690972,0
Cohort5_7_FacialExp,0.39128977,0
