,mouse,date_of_birth,treatment,injection_time,notes,image,video,recording,camera,year,month,day,hour,minutes,seconds,animal,start,end,discard,Notes,video_time,label
200,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame24330.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
201,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame25990.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
202,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame02320.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
203,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame18350.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
204,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame16180.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
205,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame14620.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
206,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame10320.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
207,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame18740.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
208,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame14350.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
209,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame22620.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
210,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame18190.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
211,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame23890.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
212,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame04750.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
213,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame02490.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
214,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame26240.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
215,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame00050.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
216,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame26120.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
217,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame05060.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
218,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame09470.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
219,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame18540.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
220,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame14420.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
221,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame26690.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
222,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame00870.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
223,m1,18 April 2022,mid,12:23,,m1_rec1_preinjection/frame13830.png,m1_rec1_preinjection,1,Basler_acA1920-40um,2022,6,13,12,5,31,m1,0:46,-1,,,12:05,0.0
