mouse,0,1,2,3,4
f1,1,0,1,1,1
f10,1,0,1,1,1
f11,1,0,1,1,1
f12,1,0,1,1,0
f13,1,0,1,1,1
f14,1,0,1,1,1
f15,1,0,1,1,0
f16,1,0,1,1,1
f2,1,0,1,1,1
f20,1,1,1,1,1
f21,1,1,1,1,1
f22,1,1,1,1,1
f23,1,1,1,1,1
f24,1,1,1,1,1
f25,1,1,1,1,1
f26,1,1,1,1,1
f27,1,1,1,1,1
f3,1,1,1,1,1
f30,1,1,1,1,1
f31,1,0,1,1,0
f32,1,0,1,1,1
f33,1,0,1,1,1
f4,1,1,1,-1,1
f5,1,0,1,1,1
f6,1,0,1,1,1
f7,1,0,1,1,1
f8,1,0,1,1,0
f9,1,0,1,1,1
m1,1,0,1,1,1
m10,1,0,1,1,1
m11,1,0,1,1,1
m12,1,0,1,1,1
m13,1,0,1,1,1
m14,1,0,1,1,1
m15,1,0,1,1,0
m16,1,0,1,1,1
m17,1,0,1,1,1
m18,1,1,1,1,1
m19,1,0,1,1,0
m2,1,1,1,-1,1
m20,1,0,1,1,1
m21,1,1,1,1,1
m22,1,1,1,1,1
m23,1,1,1,1,1
m24,1,1,1,1,1
m25,1,1,1,1,1
m26,1,1,1,1,1
m27,1,1,1,1,1
m28,1,1,1,1,1
m29,1,1,1,1,1
m3,1,0,1,1,1
m30,1,1,1,1,1
m4,1,0,1,1,0
m5,1,0,1,1,0
m6,1,0,1,1,1
m7,1,0,1,1,1
m8,-1,0,1,1,1
m9,1,0,1,1,0
